Date,Open,High,Low,Close,Adj Close,Volume
27-05-08,4.460000,4.575714,4.431428,4.575714,4.575714,5602100
28-05-08,4.574286,4.628572,4.421429,4.445714,4.445714,13036100
29-05-08,4.320000,4.445714,4.258572,4.335714,4.335714,15862700
30-05-08,4.351429,4.408571,4.301429,4.337143,4.337143,8871100
02-06-08,4.334286,4.421429,4.334286,4.412857,4.412857,7801500
03-06-08,4.428571,4.580000,4.428571,4.552857,4.552857,9543800
04-06-08,4.524286,4.640000,4.502857,4.624286,4.624286,6671700
05-06-08,4.608572,4.857143,4.551429,4.738572,4.738572,10714900
06-06-08,4.691429,4.691429,4.535714,4.545714,4.545714,6703900
09-06-08,4.545714,4.571429,4.341429,4.447143,4.447143,6885200
10-06-08,4.392857,4.478571,4.348571,4.375714,4.375714,4574500
11-06-08,4.364286,4.448571,4.314286,4.318572,4.318572,5012000
12-06-08,4.324286,4.482857,4.324286,4.430000,4.430000,4397400
13-06-08,4.480000,4.610000,4.475714,4.602857,4.602857,4724300
16-06-08,4.571429,4.582857,4.491428,4.560000,4.560000,3552500
17-06-08,4.564286,4.564286,4.468572,4.471428,4.471428,3051300
18-06-08,4.444286,4.454286,4.285714,4.311429,4.311429,6950300
19-06-08,4.288571,4.598571,4.252857,4.585714,4.585714,8460900
20-06-08,4.608572,4.608572,4.415714,4.485714,4.485714,7775600
23-06-08,4.500000,4.501429,4.218572,4.230000,4.230000,9176300
24-06-08,4.248571,4.321429,4.080000,4.142857,4.142857,10761100
25-06-08,4.164286,4.268571,4.144286,4.228571,4.228571,6297900
26-06-08,4.214286,4.248571,4.097143,4.111429,4.111429,8674400
27-06-08,4.102857,4.102857,3.758571,3.820000,3.820000,14755300
30-06-08,3.787143,3.857143,3.720000,3.724286,3.724286,8149400
01-07-08,3.828571,3.938571,3.777143,3.871428,3.871428,17619700
